replicate	bin	read1_files	read2_files
1	A	LIB014384_22G37LLT3_S137_L006_R1_001.fastq.gz,LIB014384_22G37LLT3_S137_L005_R1_001.fastq.gz,LIB014384_22G7NYLT3_S18_L003_R1_001.fastq.gz	LIB014384_22G37LLT3_S137_L006_R2_001.fastq.gz,LIB014384_22G37LLT3_S137_L005_R2_001.fastq.gz,LIB014384_22G7NYLT3_S18_L003_R2_001.fastq.gz
1	B	LIB014385_22G37LLT3_S138_L006_R1_001.fastq.gz,LIB014385_22G37LLT3_S138_L005_R1_001.fastq.gz,LIB014385_22G7NYLT3_S19_L003_R1_001.fastq.gz	LIB014385_22G37LLT3_S138_L006_R2_001.fastq.gz,LIB014385_22G37LLT3_S138_L005_R2_001.fastq.gz,LIB014385_22G7NYLT3_S19_L003_R2_001.fastq.gz
1	C	LIB014386_22G37LLT3_S140_L006_R1_001.fastq.gz,LIB014386_22G37LLT3_S140_L005_R1_001.fastq.gz,LIB014386_22G7NYLT3_S21_L003_R1_001.fastq.gz	LIB014386_22G37LLT3_S140_L006_R2_001.fastq.gz,LIB014386_22G37LLT3_S140_L005_R2_001.fastq.gz,LIB014386_22G7NYLT3_S21_L003_R2_001.fastq.gz
1	D	LIB014387_22G37LLT3_S136_L006_R1_001.fastq.gz,LIB014387_22G37LLT3_S136_L005_R1_001.fastq.gz,LIB014387_22G7NYLT3_S17_L003_R1_001.fastq.gz	LIB014387_22G37LLT3_S136_L006_R2_001.fastq.gz,LIB014387_22G37LLT3_S136_L005_R2_001.fastq.gz,LIB014387_22G7NYLT3_S17_L003_R2_001.fastq.gz
2	A	LIB014389_22G37LLT3_S151_L007_R1_001.fastq.gz,LIB014389_22G7NYLT3_S50_L004_R1_001.fastq.gz	LIB014389_22G37LLT3_S151_L007_R2_001.fastq.gz,LIB014389_22G7NYLT3_S50_L004_R2_001.fastq.gz
2	B	LIB014390_22G37LLT3_S154_L007_R1_001.fastq.gz,LIB014390_22G7NYLT3_S53_L004_R1_001.fastq.gz	LIB014390_22G37LLT3_S154_L007_R2_001.fastq.gz,LIB014390_22G7NYLT3_S53_L004_R2_001.fastq.gz
2	C	LIB014391_22G37LLT3_S152_L007_R1_001.fastq.gz,LIB014391_22G7NYLT3_S51_L004_R1_001.fastq.gz	LIB014391_22G37LLT3_S152_L007_R2_001.fastq.gz,LIB014391_22G7NYLT3_S51_L004_R2_001.fastq.gz
2	D	LIB014392_22G37LLT3_S155_L007_R1_001.fastq.gz,LIB014392_22G7NYLT3_S54_L004_R1_001.fastq.gz	LIB014392_22G37LLT3_S155_L007_R2_001.fastq.gz,LIB014392_22G7NYLT3_S54_L004_R2_001.fastq.gz
3	A	LIB014394_22G37LLT3_S133_L006_R1_001.fastq.gz,LIB014394_22G37LLT3_S133_L005_R1_001.fastq.gz,LIB014394_22G7NYLT3_S25_L003_R1_001.fastq.gz	LIB014394_22G37LLT3_S133_L006_R2_001.fastq.gz,LIB014394_22G37LLT3_S133_L005_R2_001.fastq.gz,LIB014394_22G7NYLT3_S25_L003_R2_001.fastq.gz
3	B	LIB014395_22G37LLT3_S134_L006_R1_001.fastq.gz,LIB014395_22G37LLT3_S134_L005_R1_001.fastq.gz,LIB014395_22G7NYLT3_S26_L003_R1_001.fastq.gz	LIB014395_22G37LLT3_S134_L006_R2_001.fastq.gz,LIB014395_22G37LLT3_S134_L005_R2_001.fastq.gz,LIB014395_22G7NYLT3_S26_L003_R2_001.fastq.gz
